PAC,SHO,PAS,DRI,DEF,PHY,DIV,HAN,KIC,REF,SPE,POS,WF,Skill,Position,Rtg,Rarity
85.0,92.0,91.0,95.0,38.0,65.0,,,,,,,4,4,Attacker,93,Gold
89.0,93.0,81.0,89.0,35.0,77.0,,,,,,,4,5,Attacker,92,Gold
78.0,91.0,78.0,86.0,43.0,82.0,,,,,,,4,4,Attacker,91,Gold
91.0,85.0,86.0,94.0,36.0,59.0,,,,,,,5,5,Attacker,91,Gold
76.0,86.0,93.0,88.0,64.0,78.0,,,,,,,5,4,Midfielder,91,Gold
76.0,60.0,71.0,72.0,91.0,86.0,,,,,,,3,2,Defender,90,Gold
94.0,85.0,80.0,90.0,44.0,76.0,,,,,,,4,4,Attacker,90,Gold
93.0,86.0,81.0,90.0,45.0,75.0,,,,,,,3,4,Attacker,90,Gold
96.0,86.0,78.0,91.0,39.0,76.0,,,,,,,4,5,Attacker,90,Gold
71.0,70.0,76.0,74.0,88.0,85.0,,,,,,,3,3,Defender,89,Gold
78.0,90.0,77.0,88.0,33.0,73.0,,,,,,,4,4,Attacker,89,Gold
74.0,85.0,81.0,87.0,40.0,76.0,,,,,,,4,4,Attacker,89,Gold
65.0,73.0,76.0,73.0,86.0,91.0,,,,,,,3,2,Midfielder,89,Gold
54.0,81.0,91.0,81.0,71.0,69.0,,,,,,,5,3,Midfielder,88,Gold
93.0,81.0,79.0,90.0,45.0,67.0,,,,,,,3,4,Attacker,88,Gold
85.0,85.0,84.0,91.0,43.0,63.0,,,,,,,3,4,Attacker,88,Gold
77.0,66.0,76.0,81.0,86.0,82.0,,,,,,,3,2,Midfielder,88,Gold
75.0,28.0,55.0,69.0,89.0,86.0,,,,,,,3,2,Defender,88,Gold
71.0,72.0,86.0,84.0,81.0,79.0,,,,,,,4,3,Midfielder,88,Gold
68.0,91.0,80.0,81.0,47.0,83.0,,,,,,,4,3,Attacker,88,Gold
88.0,82.0,83.0,92.0,35.0,66.0,,,,,,,4,4,Attacker,88,Gold
80.0,66.0,87.0,80.0,80.0,71.0,,,,,,,4,3,Defender,87,Gold
42.0,62.0,80.0,81.0,83.0,77.0,,,,,,,3,3,Midfielder,87,Gold
77.0,80.0,81.0,90.0,61.0,78.0,,,,,,,4,5,Attacker,87,Gold
93.0,86.0,75.0,81.0,38.0,69.0,,,,,,,4,4,Attacker,87,Gold
73.0,76.0,89.0,88.0,71.0,66.0,,,,,,,4,4,Midfielder,87,Gold
70.0,90.0,82.0,83.0,51.0,83.0,,,,,,,4,3,Attacker,87,Gold
83.0,74.0,81.0,91.0,37.0,64.0,,,,,,,3,5,Midfielder,87,Gold
88.0,86.0,80.0,87.0,43.0,69.0,,,,,,,5,4,Midfielder,87,Gold
66.0,46.0,58.0,62.0,90.0,79.0,,,,,,,3,2,Defender,87,Gold
67.0,69.0,79.0,77.0,85.0,83.0,,,,,,,2,3,Midfielder,87,Gold
84.0,88.0,67.0,83.0,39.0,77.0,,,,,,,4,3,Attacker,87,Gold
77.0,83.0,88.0,85.0,68.0,75.0,,,,,,,4,4,Midfielder,87,Gold
81.0,77.0,83.0,92.0,51.0,67.0,,,,,,,3,4,Attacker,87,Gold
63.0,50.0,72.0,69.0,88.0,81.0,,,,,,,3,2,Defender,87,Gold
79.0,85.0,84.0,88.0,57.0,72.0,,,,,,,3,4,Attacker,87,Gold
83.0,81.0,85.0,87.0,48.0,68.0,,,,,,,2,5,Attacker,87,Gold
83.0,62.0,80.0,80.0,81.0,76.0,,,,,,,2,3,Defender,87,Gold
68.0,82.0,82.0,78.0,56.0,71.0,,,,,,,4,3,Midfielder,86,Gold
82.0,49.0,64.0,65.0,87.0,82.0,,,,,,,3,2,Defender,86,Gold
