Name,Rtg,Pos,Club,League,Nationality,DIV,HAN,KIC,REF,SPE,POS,WF,Skill
Jan Oblak,91,GK,Atlético de Madrid,LaLiga Santander,SVN,87,92,78,90,50,90,3,1
Alisson,90,GK,Liverpool,Premier League,BRA,86,88,85,89,52,91,3,1
Marc-André ter Stegen,90,GK,FC Barcelona,LaLiga Santander,GER,88,85,88,90,43,88,4,1
Thibaut Courtois,89,GK,Real Madrid,LaLiga Santander,BEL,84,89,74,88,46,85,3,1
Manuel Neuer,89,GK,FC Bayern München,Bundesliga,GER,87,87,91,89,56,86,4,1
Ederson,88,GK,Manchester City,Premier League,BRA,86,82,93,88,64,86,3,1
Samir Handanovič,88,GK,Inter,Serie A TIM,SVN,88,85,73,89,53,89,3,1
Keylor Navas,87,GK,Paris Saint-Germain,Ligue 1 Uber Eats,COS,90,81,75,90,54,82,3,1
Wojciech Szczęsny,87,GK,Piemonte Calcio,Serie A TIM,POL,86,82,73,88,49,87,3,1
Hugo Lloris,87,GK,Tottenham Hotspur,Premier League,FRA,89,82,68,90,64,84,1,1
De Gea,86,GK,Manchester United,Premier League,ESP,88,81,78,89,57,82,3,1
Yann Sommer,86,GK,Borussia Mönchengladbach,Bundesliga,SUI,80,86,85,85,50,87,4,1
Gianluigi Donnarumma,85,GK,Milan,Serie A TIM,ITA,89,81,76,89,49,83,3,1
Bernd Leno,85,GK,Arsenal,Premier League,GER,85,83,80,86,55,84,3,1
Péter Gulácsi,85,GK,RB Leipzig,Bundesliga,HUN,84,85,82,86,43,84,2,1
André Onana,84,GK,Ajax,Eredivisie,CAM,84,80,87,86,63,82,3,1
Roman Bürki,84,GK,Borussia Dortmund,Bundesliga,SUI,85,82,72,88,46,82,2,1
Rui Patrício,84,GK,Wolverhampton Wanderers,Premier League,POR,84,80,77,83,55,82,2,1
Salvatore Sirigu,84,GK,Torino,Serie A TIM,ITA,84,80,76,82,50,84,2,1
Kasper Schmeichel,84,GK,Leicester City,Premier League,DEN,82,77,83,89,53,79,3,1
Pau López,83,GK,Roma FC,Serie A TIM,ESP,82,83,79,84,48,82,3,1
Martin Dúbravka,83,GK,Newcastle United,Premier League,SVK,79,80,81,86,47,82,2,1
Thomas Strakosha,83,GK,Lazio,Serie A TIM,ALB,86,79,75,88,43,81,2,1
Anthony Lopes,83,GK,Olympique Lyonnais,Ligue 1 Uber Eats,POR,85,80,74,86,63,80,2,1
Aitor,83,GK,Levante UD,LaLiga Santander,ESP,84,78,74,86,56,81,2,1
Koen Casteels,83,GK,VfL Wolfsburg,Bundesliga,BEL,83,80,80,84,45,83,2,1
Lukáš Hrádecký,83,GK,Bayer 04 Leverkusen,Bundesliga,FIN,85,78,69,87,40,83,3,1
Kevin Trapp,83,GK,Eintracht Frankfurt,Bundesliga,GER,82,78,79,85,48,83,4,1
Steve Mandanda,83,GK,Olympique de Marseille,Ligue 1 Uber Eats,FRA,81,81,78,84,49,81,3,1
Mike Maignan,82,GK,Milan,Serie A TIM,FRA,80,80,82,83,47,82,3,1
Mattia Perin,82,GK,Piemonte Calcio,Serie A TIM,ITA,82,82,71,87,57,79,3,1
Gianluigi Buffon,82,GK,Parma,Serie A TIM,ITA,77,76,74,78,34,91,2,1
Alphonse Areola,82,GK,Fulham,Premier League,FRA,85,79,80,84,55,78,3,1
Jiří Pavlenka,82,GK,SV Werder Bremen,Bundesliga,CZ,84,76,68,87,36,76,3,1
Mike Maignan,82,GK,LOSC Lille,Ligue 1 Uber Eats,FRA,80,80,82,83,47,82,3,1
Gerónimo Rulli,82,GK,Villarreal CF,LaLiga Santander,ARG,85,78,77,88,54,78,3,1
Pacheco,82,GK,D. Alavés,LaLiga Santander,ESP,81,79,71,84,46,83,2,1
Kepa,82,GK,Chelsea,Premier League,ESP,81,82,85,82,34,79,4,1
Tomáš Vaclík,82,GK,Sevilla FC,LaLiga Santander,CZ,82,76,76,85,36,81,3,1
Nick Pope,82,GK,Burnley,Premier League,ENG,79,81,75,84,49,83,3,1
Mattia Perin,82,GK,Genoa,Serie A TIM,ITA,82,82,71,87,57,79,3,1
Neto,82,GK,FC Barcelona,LaLiga Santander,BRA,84,79,78,80,54,79,2,1
Oliver Baumann,82,GK,TSG Hoffenheim,Bundesliga,GER,81,80,79,82,49,79,1,1
Fernando Muslera,82,GK,Galatasaray SK,Süper Lig,URU,84,76,75,83,61,82,2,1
Sergio Asenjo,82,GK,Villarreal CF,LaLiga Santander,ESP,84,82,77,82,57,80,3,1
Gianluigi Buffon,82,GK,Piemonte Calcio,Serie A TIM,ITA,77,76,74,78,34,91,2,1
David Soria,82,GK,Getafe CF,LaLiga Santander,ESP,83,81,72,84,43,81,3,1
Agustín Marchesín,82,GK,FC Porto,Liga NOS,ARG,82,78,76,86,54,81,3,1
Esteban Andrada,81,GK,Rayados de Monterrey,LIGA BBVA MX,ARG,77,79,82,83,45,82,2,1
Walter Benítez,81,GK,OGC Nice,Ligue 1 Uber Eats,ARG,80,79,77,83,48,80,2,1
